"ch","part","comp","whole","idx","len","x","y","w","h"
"挹","1","邑","邑","0","0","93","41","142","199"
"捃","0","扌","捎","0","3","15","22","76","207"
"捃","1","君","君","0","0","84","34","160","207"
"捅","0","扌","扣","0","3","15","22","76","220"
"捅","1","甬","通","3","7","99","24","129","222"
"捌","0","扌","搜","0","3","7","16","88","222"
"捌","1","別","別","0","0","83","28","148","213"
"捍","0","扌","抒","0","3","7","16","88","222"
"捍","1","旱","悍","3","7","86","24","156","220"
"据","0","扌","搜","0","3","7","16","88","222"
"据","1","居","居","0","0","92","21","156","221"
"捺","0","扌","捎","0","3","7","16","88","222"
"捺","1","奈","奈","0","0","85","24","156","216"
"掂","0","扌","扣","0","3","7","16","88","222"
"掂","1","店","店","0","0","87","27","156","216"
"掇","0","扌","捎","0","3","7","16","88","222"
"掇","1","叕","輟","7","8","84","21","156","213"
"掐","0","扌","扣","0","3","7","16","88","222"
"掐","1","臽","陷","2","8","91","20","142","215"
"掮","0","扌","抒","0","3","7","16","88","222"
"掮","1","肩","肩","0","0","83","35","156","216"
"掰","0","手","手","0","0","7","16","88","222"
"掰","1","分","紛","6","4","80","28","91","197"
"掰","2","手","摯","11","4","173","19","63","214"
"揃","0","扌","搜","0","3","7","16","88","222"
"揃","1","前","剪","0","9","87","28","156","216"
"揄","0","扌","捎","0","3","7","16","88","222"
"揄","1","俞","俞","0","0","78","16","156","227"
"揠","0","扌","抒","0","3","7","16","88","222"
"揠","1","匽","偃","2","9","90","27","144","212"
"揶","0","扌","捎","0","3","7","16","88","222"
"揶","1","耶","爺","4","9","75","33","173","213"
"搆","0","扌","捎","0","3","12","13","81","224"
"搆","1","冓","遘","3","10","80","13","160","225"
"搐","0","扌","抒","0","3","7","16","88","222"
"搐","1","畜","蓄","3","10","82","21","173","220"
"搣","0","扌","捎","0","3","8","15","80","222"
"搣","1","烕","滅","3","10","61","12","177","235"
"搦","0","扌","抒","0","3","8","15","80","222"
"搦","1","弱","弱","0","0","97","28","134","219"
"搧","0","扌","抒","0","3","8","15","80","222"
"搧","1","扇","煽","4","10","84","18","155","227"
"摀","0","扌","搜","0","3","20","23","79","217"
"摀","1","烏","烏","0","0","93","25","153","213"
"摓","0","扌","擋","0","3","8","15","80","222"
"摓","1","逢","逢","0","0","69","19","181","235"
"摭","0","扌","扣","0","3","8","15","80","222"
"摭","1","庶","蔗","3","11","79","20","156","227"
"摳","0","扌","抒","0","3","8","15","80","222"
"摳","1","區","嘔","3","11","92","34","156","197"
"摻","0","扌","搜","0","3","8","15","80","222"
"摻","1","參","參","0","0","73","13","174","238"
"撂","0","扌","搜","0","3","14","24","74","211"
"撂","1","田","苗","3","5","110","23","112","65"
"撂","2","各","恪","3","6","86","94","159","145"
"撙","0","扌","抒","0","3","8","15","80","222"
"撙","1","尊","尊","0","0","79","10","156","234"
"撳","0","扌","摟","0","3","1","5","80","222"
"撳","1","欽","欽","0","0","73","10","179","234"
"擀","0","扌","揚","0","3","8","15","80","222"
"擀","1","幹","幹","0","0","72","20","168","230"
"擓","0","扌","搔","0","3","8","15","80","222"
"擓","1","匯","匯","0","0","95","29","156","207"
"擢","0","扌","抒","0","3","17","17","62","229"
"擢","1","翟","耀","6","14","83","28","165","221"
"擤","0","扌","摟","0","3","8","15","80","222"
